
S,P,O,text
独龙族,人口,7000,独龙族，人口约7000人
独龙族,位于,独龙乡,独龙族主要分布在云南怒江州贡山独龙族怒族自治县。
独龙乡,位于,贡山县,
贡山县,位于,怒江州,云南省怒江州贡山县辖乡
怒江州,位于,云南省,
独龙江,认定为,野生植物天然博物馆,"独龙江峡谷被专家认定为“野生植物天然博物馆”，是我国原始生
态保存最完整的区域之一。"
独龙江,流经,独龙乡,独龙江，向南流经但当利卡山和高黎贡山之间的峡谷，即贡山县独龙江乡（独龙族世居地）
独龙族,语言,独龙语,独龙族使用独龙语
独龙族,是,云南人口最少的民族,独龙族是云南人口最少的民族
独龙族,是,跨境而居的民族,独龙族是跨境而居的民族，境外主要聚居于缅甸北部的恩梅开江和迈立开江流域
独龙族,境外位于,缅甸北部的恩梅开江和迈立开江流域,
独龙族,巫术活动,祭鬼,独龙族在万物有灵的传统观念支配下，比较普遍地相信鬼魂的存在和作用。他们对自然界的认识和崇拜集中表现在对各种鬼魂的信奉与祭祀上。而“神”似乎还没有完全从其鬼魂观念里分离出来。认为人们一生中的所有祸福都是由鬼魂决定的。图腾崇拜的遗迹已绝少可见，而祖先崇拜的仪礼活动迄今为止尚未发现，也没有任何偶体偶像的供置和膜拜。盛行祭鬼、巫师（“南木萨”、“乌”等）治病、砍鬼和占卜等一系列巫术活动。
独龙族,巫术活动,巫师治病,
独龙族,巫术活动,砍鬼,
独龙族,巫术活动,占卜,
占卜,方式,碗卜,
占卜,方式,刀卜,
占卜,方式,草叶卜,
占卜,方式,蛋卜,
巫师,进行,祭鬼,独龙族祭鬼由巫师进行，巫师有两种，一种称为“楠木萨”，主持祭祀、打卦，另一种称为“夺木萨”，专门从事驱鬼，“纳木萨”的地位较高。
楠木萨,是,巫师,
夺木萨,是,巫师,
楠木萨,主持,祭祀,
楠木萨,主持,打卦,
夺木萨,从事,驱鬼,
楠木萨,地位高于,夺木萨,
独龙语,属于,汉藏语系藏缅语族,独龙语属汉藏语系藏缅语族
独龙语,方言,独龙江的独龙语方言,独龙语内部可分为两大方言，即独龙江的独龙语方言和贡山丙中洛的怒江独龙语方言
独龙语,方言,贡山丙中洛的怒江独龙语方言,
独龙族,记事方式,刻木记事,独龙族没有自己的民族文字，仅以刻木记事、结绳算数及画图、刺绣图案来表达各种思想感情，可认为是文字萌芽的初始阶段
独龙族,算数方式,结绳算数,
独龙族,生活习俗,主妇分食,无论饮酒、吃饭和吃肉，独龙族家庭内部都由主妇分食。
独龙族,节日,卡雀哇,独龙族唯一的传统节日就是过年，独龙语叫“卡雀哇”
卡雀哇,时间,农历腊月,
卡雀哇,节庆活动,射面兽,
卡雀哇,节庆活动,歌舞会,
烧松叶,祈求,吉祥,
火塘,用来,烧松叶,
卡雀哇,节庆活动,烧松叶,卡雀哇节庆内容火塘烧松叶求吉祥
卡雀哇,节庆活动,歌舞会,
卡雀哇,节庆活动,喝木罗酒,
卡雀哇,节庆活动,跳锅庄,
卡雀哇,节庆活动,木刻传信,
卡雀哇,节庆活动,祭山神,
卡雀哇,节庆活动,剽牛祭天,节日里，人们祭祀天鬼山神、抛碗卜卦、共吃年饭、唱歌跳舞以至通宵达旦，而最热闹、最隆重的就是剽牛祭天
卡雀哇,列为,第一批国家级非物质文化遗产名录,
剽牛祭天,祈祷,五谷丰登,
剽牛祭天,祈祷,人丁兴旺,
剽牛祭天,地点,村寨广场,
独龙族,婚俗,氏族外婚制,独龙族婚姻严格实行氏族外婚制，即同一氏族的男女无论有没有直系亲缘关系，均不能通婚，各氏族之间有比较固定的婚姻集团。
独龙族,住屋形式,木楞房,独龙族房屋有木楞房和竹篾房两种
独龙族,住屋形式,竹篾房,
木楞房,建筑材料,圆木,"木楞房为长方形, 四周墙壁用圆木砍缺口互相交叉垒架而成, 不用钉子, 不用立柱"
竹篾房,建筑材料,篾笆,"竹篾房的四周则用蔑笆围墙, 楼铺嫂笆, 顶盖茅草。"
独龙族,神话传说,《创世纪》,独龙族的民间故事和民歌丰富多彩，较有代表性的神话传说有《创世纪》、《大蚂蚁把天地分开》、《洪水滔天》、《坛更朋》等作品
独龙族,神话传说,《大蚂蚁把天地分开》,
独龙族,神话传说,《洪水滔天》,
独龙族,神话传说,《坛更朋》,
独龙族,故事,《星星姑娘》,流传较广的故事有《星星姑娘》、《鱼姑娘》、《姑娘与青蛙》、《大南瓜》和《太阳山》、《孤儿龚干》等
独龙族,故事,《鱼姑娘》,
独龙族,故事,《姑娘与青蛙》,
独龙族,故事,《大南瓜》,
独龙族,故事,《太阳山》,
独龙族,故事,《孤儿龚干》,
独龙族,唱歌形式,对调唱歌,独龙族和民歌民谣称为“门竹”，是对调唱歌的主要形式，
独龙族,歌曲,《劳动歌》,《劳动歌》、《猎获野牛》就是这样唱：“大家干活勤又快，砍树烧山把地开，大火烧过的土地、庄稼才能长出来……”“九条江的野牛，朝我们这边走来，我们打中了野牛，老老少少都光彩……。”除此外，还有许多记述男女青年恋爱、婚姻的情歌，如《我俩永相爱》、《同我心连心的只有你一个》、《白云和山泉》、《萝胜花》、《岩桑》、《看一眼》、《猎人》、《满天的星》、《丁格·白丽》等，一首歌就是一首叙事诗或抒情诗，并一直为独龙族广大群众所喜爱和演唱。
独龙族,歌曲,《猎获野牛》,
独龙族,歌曲,《我俩永相爱》,
独龙族,歌曲,《同我心连心的只有你一个》,
独龙族,歌曲,《白云和山泉》,
独龙族,歌曲,《萝胜花》,
独龙族,歌曲,《岩桑》,
独龙族,歌曲,《看一眼》,
独龙族,歌曲,《猎人》,
